"location_name","score","foot_traffic_score","competitor_count","location_rank","percentile","tier"
"Bandra West",170.00,250,50,1,"0.0%","Top Tier"
"Fort",170.00,250,50,1,"0.0%","Top Tier"
"Churchgate",170.00,250,50,1,"0.0%","Top Tier"
"Juhu",170.00,250,50,1,"0.0%","Top Tier"
"Lower Parel",170.00,250,50,1,"0.0%","Top Tier"
"Versova",163.20,240,48,6,"25.0%","Other"
"Andheri East",136.00,200,40,7,"30.0%","Other"
"Malad",132.60,195,39,8,"35.0%","Other"
"Colaba",122.40,180,36,9,"40.0%","Other"
"Matunga",122.40,180,36,9,"40.0%","Other"
"Ghatkopar",115.60,170,34,11,"50.0%","Other"
"Powai",112.20,165,33,12,"55.0%","Other"
"Kandivali",108.80,160,32,13,"60.0%","Other"
"Bandra Kurla Complex",98.60,145,29,14,"65.0%","Other"
"Navi Mumbai (Vashi)",95.20,140,28,15,"70.0%","Other"
"Dadar",74.80,110,22,16,"75.0%","Other"
"Sion",64.60,95,19,17,"80.0%","Other"
"Andheri West",44.20,65,13,18,"85.0%","Other"
"Marine Lines",30.60,45,9,19,"90.0%","Other"
"Goregaon",23.80,35,7,20,"95.0%","Other"
"Vikhroli",13.60,20,4,21,"100.0%","Other"
