"location_name","foot_traffic","competitors","opportunity_score","traffic_vs_others","competition_vs_others","market_status"
"Bandra West",250,50,40.0,"100.0%","100.0%","Good Opportunity"
"Fort",250,50,40.0,"100.0%","100.0%","Good Opportunity"
"Churchgate",250,50,40.0,"100.0%","100.0%","Good Opportunity"
"Juhu",250,50,40.0,"100.0%","100.0%","Good Opportunity"
"Lower Parel",250,50,40.0,"100.0%","100.0%","Good Opportunity"
"Versova",240,48,38.4,"96.0%","96.0%","Good Opportunity"
"Andheri East",200,40,32.0,"80.0%","80.0%","Good Opportunity"
"Malad",195,39,31.2,"78.0%","78.0%","Good Opportunity"
"Colaba",180,36,28.8,"72.0%","72.0%","Good Opportunity"
"Matunga",180,36,28.8,"72.0%","72.0%","Good Opportunity"
"Ghatkopar",170,34,27.2,"68.0%","68.0%","Good Opportunity"
"Powai",165,33,26.4,"66.0%","66.0%","Good Opportunity"
"Kandivali",160,32,25.6,"64.0%","64.0%","Good Opportunity"
"Bandra Kurla Complex",145,29,23.2,"58.0%","58.0%","Moderate Opportunity"
"Navi Mumbai (Vashi)",140,28,22.4,"56.0%","56.0%","Moderate Opportunity"
"Dadar",110,22,17.6,"44.0%","44.0%","Moderate Opportunity"
"Sion",95,19,15.2,"38.0%","38.0%","Moderate Opportunity"
"Andheri West",65,13,10.4,"26.0%","26.0%","Moderate Opportunity"
"Marine Lines",45,9,7.2,"18.0%","18.0%","Moderate Opportunity"
"Goregaon",35,7,5.6,"14.0%","14.0%","Moderate Opportunity"
"Vikhroli",20,4,3.2,"8.0%","8.0%","Moderate Opportunity"
