"location_name","cafe_count","restaurant_count","mall_count","office_count","park_count","weighted_score","rank","cafes_vs_avg","restaurants_vs_avg","tier"
"Bandra West",50,50,50,50,50,185.00,1,"154.8%","154.8%","Top Tier"
"Fort",50,50,50,50,50,185.00,1,"154.8%","154.8%","Top Tier"
"Churchgate",50,50,50,50,50,185.00,1,"154.8%","154.8%","Top Tier"
"Juhu",50,50,50,50,50,185.00,1,"154.8%","154.8%","Top Tier"
"Lower Parel",50,50,50,50,50,185.00,1,"154.8%","154.8%","Top Tier"
"Versova",48,48,48,48,48,177.60,6,"148.6%","148.6%","Second Tier"
"Andheri East",40,40,40,40,40,148.00,7,"123.8%","123.8%","Second Tier"
"Malad",39,39,39,39,39,144.30,8,"120.7%","120.7%","Opportunity Area"
"Colaba",36,36,36,36,36,133.20,9,"111.5%","111.5%","Opportunity Area"
"Matunga",36,36,36,36,36,133.20,9,"111.5%","111.5%","Opportunity Area"
"Ghatkopar",34,34,34,34,34,125.80,11,"105.3%","105.3%","Opportunity Area"
"Powai",33,33,33,33,33,122.10,12,"102.2%","102.2%","Opportunity Area"
"Kandivali",32,32,32,32,32,118.40,13,"99.1%","99.1%","Opportunity Area"
"Bandra Kurla Complex",29,29,29,29,29,107.30,14,"89.8%","89.8%","Opportunity Area"
"Navi Mumbai (Vashi)",28,28,28,28,28,103.60,15,"86.7%","86.7%","Opportunity Area"
"Dadar",22,22,22,22,22,81.40,16,"68.1%","68.1%","Opportunity Area"
"Sion",19,19,19,19,19,70.30,17,"58.8%","58.8%","Opportunity Area"
"Andheri West",13,13,13,13,13,48.10,18,"40.2%","40.2%","Opportunity Area"
"Marine Lines",9,9,9,9,9,33.30,19,"27.9%","27.9%","Opportunity Area"
"Goregaon",7,7,7,7,7,25.90,20,"21.7%","21.7%","Opportunity Area"
"Vikhroli",4,4,4,4,4,14.80,21,"12.4%","12.4%","Opportunity Area"
