name,address,lat,lng,rating,reviews,location_name,fsq_id
Flamboyante,"World Trade Centre (Cuffe Parade, Colaba), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Village,"World Trade Centre, Tower 5 (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Nature's Basket,"World Trade Centre Arcade (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Baskin-Robbins,"World Trade Center Shopping Arcade, Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
UAE Consulate General,"United Arab Emirates Consulate General in Mumbai, India (No.7, Jolly Maker, Apartment No. 1, Cuffe Parade, ), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Vivek Vaswani,"141 142 Dalamal Park, Cuffe Parade Bombay, 400005",0,0,,0,Colaba,
Vijay Medico Pharma,"12/C Usha Sadan, S B S Road, Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Mulla Auditorium,"Colaba, Mumbai, Mahārāshtra",0,0,,0,Colaba,
Manoj,,0,0,,0,Colaba,
WTC Pasta,Cuffe Parade,0,0,,0,Colaba,
Colaba Woods,"Off Prakash Pathe Road, Mumbai 400 005, Mahārāshtra",0,0,,0,Colaba,
Colabawoods Basketball Court,"Cuffe Parade 50, Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Cuffe Parade,"Cuffe Parade,, Mumbai 400 005., Mahārāshtra",0,0,,0,Colaba,
King Plaza,"Maker Arcade (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Mr. Chow,"Shahid Bhagatsingh Marg, Colaba, Mumbai, Mahārāshtra",0,0,,0,Colaba,
Natural's Ice Cream,"Mumbai, Mahārāshtra",0,0,,0,Colaba,
Idris Bhai Roll,,0,0,,0,Colaba,
Maker Arcade,"Maker Towers (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Café Coffee Day,"Maker Arcade (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Santoor,"9/10 Maker Arcade, Mumbai 400 005, Mahārāshtra",0,0,,0,Colaba,
B. D. Somani International School,"Cuffe Parade (G. D. Somani marg), Mumbai 400 005, Mahārāshtra",0,0,,0,Colaba,
Land's End Park,,0,0,,0,Colaba,
Gym TajHotel,www.tajhotels.com,0,0,,0,Colaba,
Santoor Pure Vegetarian,,0,0,,0,Colaba,
Good Luck Motor Driving School,"7, Hampton Court (125 Wodehouse Road, Volans), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Sunshine Snack Corner,,0,0,,0,Colaba,
La Patisserie,"Vivanta by Taj President (90 Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Thai Pavilion,"Vivanta by Taj - President (90 Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Konkan Cafe,"Vivanta by Taj - President (90 Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Wink,"Vivanta by Taj - President (90 Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Konkan Cafe,"90 Cuffe Parade, Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Trattoria,"Vivanta by Taj - President (90 Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Pasta Ring,"Cuffe parade, Mumbai, Mahārāshtra",0,0,,0,Colaba,
Consulate General of the United Arab Emirates,"Maker Tower 'F' (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Alliance Française,"G D Somani Marg (Cuffe Parade), Mumbai 400005, Mahārāshtra",0,0,,0,Colaba,
Olympia Coffee House,"1 Shahid Bhagat Singh Road, Mumbai 400 039, Mahārāshtra",0,0,,0,Colaba,
Umame,"church gate, Mumbai, Mahārāshtra",0,0,,0,Fort,
Pronto,"Churchgate, Eros Cinema Building (Maharishi Karve Road), Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Eros Theatre,"JN Tata Road, Mumbai, Mahārāshtra",0,0,,0,Fort,
Eros Cinema,"M.K.Road, Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Café Coffee Day,"Churchgate Station (Next To Eros Theatre), Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Subway,"Eros Cinema Building, Churchgate (Veer Nariman Rd.), Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Archies Gallery,"Jamshedji Tata Road (Churchgate), Mumbai, Mahārāshtra",0,0,,0,Fort,
Markiv's,"Jamshedji Tata Road, Mumbai 400 020, Mahārāshtra",0,0,,0,Fort,
Hearth on the First,"Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Hutatma Chowk,"Veer Nariman Road, Mumbai 400 001, Mahārāshtra",0,0,,0,Fort,
Coronation Cigar Factory,"63 Mahatma Gandhi Road (Near Kala Ghoda), Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
Jai Mata di juice centre,"Opposite Flora fountain, Mumbai, Mahārāshtra",0,0,,0,Fort,
Flora Fountain,"Veer Nariman Road (D. N. Road, Fort), Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
Café Coffee Day,"Mahatma Gandhi Road (Homi Mody Street), Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
Churchgate,"Mumbai, Mahārāshtra",0,0,,0,Fort,
Rameshwaram - Churchgate,"Jamshedji Tata Road, Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Fountain Sizzlers Restaurant,"57 Mahatma Gandhi Road, Mumbai 400 023, Mahārāshtra",0,0,,0,Fort,
Rajabai Clock Tower,"M.G Road, Mumbai 400 032, Mahārāshtra",0,0,,0,Fort,
Kalaghoda Festival,"44 Tamarind Ln, Mahārāshtra",0,0,,0,Fort,
Kitab Khana,"Flora Fountain, Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
Suryodaya,"Opp. Churchgate Station, Mumbai, Mahārāshtra",0,0,,0,Fort,
Stadium Restaurant & Stores,"Veer Nariman Road (Next to Vodafone Store, Churchgate), Mumbai 400023, Mahārāshtra",0,0,,0,Fort,
Oval Maidan,"Maharshi Karve Rd, Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Nandan Coffee,"Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
Zara,"Flora Fountain, Mumbai 400023, Mahārāshtra",0,0,,0,Fort,
India Restaurant,"82, Janma Bhoomio Marg, (Fort), Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
The Karnatak Sports Association,"Karnatak Sports Centre, Cross Maidan, Mumbai, Mahārāshtra",0,0,,0,Fort,
Mocking Bird Cafe & Bar,"Next to Ambassador (Churchgate), Mumbai, Mahārāshtra",0,0,,0,Fort,
Burger King,"Churchgate, Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Oxford Bookstore,"3 Dinsha Vachha Road, Mumbai 400 020, Mahārāshtra",0,0,,0,Fort,
Delhi Highway,"Mistry Mansion (M. G Road), Mumbai 400023, Mahārāshtra",0,0,,0,Fort,
Cafe Military,"Near High Court (Flora Fountain), Mumbai, Mahārāshtra",0,0,,0,Fort,
Cha Bar,Oxford Book Store,0,0,,0,Fort,
Indian Summer,"80 Veer Nariman Road, Mumbai 400 020, Mahārāshtra",0,0,,0,Fort,
Volga Paan Wala,"Near hornimon circle, Fort (D N Road, Hutatama Chowk), Mumbai, Mahārāshtra",0,0,,0,Fort,
The J,,0,0,,0,Fort,
The Local,"Currimjee Building, opp. Mumbai university, (Mahatma Gnadhi Road, Fort), Mumbai Maharashtra, Mahārāshtra",0,0,,0,Fort,
Gaylord Restaurant,"V. N. Road (Churchgate), Mumbai 400 020, Mahārāshtra",0,0,,0,Fort,
The Gaylord Bakeshop,"Churchgate, Mumbai, Mahārāshtra",0,0,,0,Fort,
Mockingbird Cafe,"80 Veer Nariman Road, Church Gate, Mumbai, Mahārāshtra",0,0,,0,Fort,
Globus @Khalagoda,,0,0,,0,Fort,
Samrat Veg Restaurant,"J. D. Tata Road, Mumbai 400 020, Mahārāshtra",0,0,,0,Fort,
Crossroads92,,0,0,,0,Fort,
ShivSagar,"82 Veer Nariman Road, Nagin Mahal, Church Gate, Mumbai, Mahārāshtra",0,0,,0,Fort,
theobroma,Fort,0,0,,0,Fort,
Relish,"Prem Court, Dinshaw Walcha Road (Churchgate), Mumbai 400 020, Mahārāshtra",0,0,,0,Fort,
Shiv Sagar,"Next to Mocha (Churchgate), Mumbai 400020, Mahārāshtra",0,0,,0,Fort,
Vihar,"Near churchgate Station, Mumbai, Mahārāshtra",0,0,,0,Fort,
The Cathedral & John Connon Junior School,"Ground Floor, Kala Ghoda Fort, Mumbai 400001, Mahārāshtra",0,0,,0,Fort,
Oh Dough,"Hind Rajasthan Chambers, (6 Allana Marg), Fort, Mumbai 400001, Maharshtra",0,0,,0,Fort,
Mad Over Donuts,,0,0,,0,Churchgate,
Burger King,"Churchgate, Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
