location_name,latitude,longitude,restaurant,cafe,bar,bakery,meal_takeaway,shopping_mall,clothing_store,supermarket,gym,park,library,museum,tourist_attraction,office,bank,hospital,school,university
Colaba,18.913,72.8172,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Fort,18.9322,72.8293,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Churchgate,18.935,72.8268,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Marine Lines,18.946,72.823,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Dadar,19.0161,72.8487,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Lower Parel,18.9939,72.8255,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Bandra West,19.0596,72.8295,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Bandra Kurla Complex,19.0636,72.8681,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Andheri East,19.1173,72.8508,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Andheri West,19.1275,72.812,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Juhu,19.1026,72.826,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Powai,19.124,72.9068,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Ghatkopar,19.086,72.91,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Malad,19.186,72.849,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Kandivali,19.206,72.85,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Goregaon,19.155,72.85,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Navi Mumbai (Vashi),19.075,73.004,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Sion,19.04,72.86,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Matunga,19.019,72.844,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Versova,19.135,72.814,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Vikhroli,19.117,72.918,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
